"fecha","numero_de_recibo","tipo_de_recibo","categoria","ref","articulo","variante","modificadores_aplicados","cantidad","ventas_brutas","descuentos","ventas_netas","costo_de_los_bienes","beneficio_bruto","impuestos","tipo_de_pedido","tpv","tienda","nombre_del_cajero","nombre_del_cliente","contacto_del_cliente","comentario","estado"
"2025-10-12 12:36:00","1-2842","Venta","Alimentos",10027,"Tamal","Sin variante","Hongos, Costilla",2,110.0,0.0,110.0,0.0,110.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 12:36:00","1-2842","Venta","Alimentos",10027,"Tamal","Sin variante","Hongos, Costilla",4,220.0,0.0,220.0,0.0,220.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 12:36:00","1-2842","Venta","Barra",10006,"Americano","Sin variante","Sin modificadores",1,45.0,0.0,45.0,0.0,45.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 12:36:00","1-2842","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,40.0,0.0,40.0,0.0,40.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 12:53:00","1-2843","Venta","Barra",10006,"Americano","Sin variante","Sin modificadores",1,45.0,45.0,0.0,0.0,0.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Vere","Cerrado"
"2025-10-12 13:10:00","6-0081","Venta","Barra",10040,"Matcha ceremonial","Sin variante","Avena",1,80.0,0.0,80.0,0.0,80.0,0.0,"Comer dentro","Yami","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:10:00","6-0081","Venta","Barra",10074,"Latte pumpkin","Sin variante","Deslactosada",1,80.0,0.0,80.0,0.0,80.0,0.0,"Comer dentro","Yami","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:10:00","6-0081","Venta","Barra",10080,"Cold de fresa","Sin variante","Sin modificadores",1,70.0,0.0,70.0,0.0,70.0,0.0,"Comer dentro","Yami","Café","Gerardo","","","Mandarina","Cerrado"
"2025-10-12 13:10:00","6-0081","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,50.0,0.0,50.0,0.0,50.0,0.0,"Comer dentro","Yami","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:10:00","6-0081","Venta","Vitrina",10028,"Chocolatín","Sin variante","Sin modificadores",1,60.0,0.0,60.0,0.0,60.0,0.0,"Comer dentro","Yami","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:10:00","6-0081","Venta","Vitrina",10067,"Trenzado nutella","Sin variante","Sin modificadores",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","Yami","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2844","Venta","Barra",10040,"Matcha ceremonial","Sin variante","Avena",1,80.0,0.0,80.0,0.0,80.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2844","Venta","Barra",10074,"Latte pumpkin","Sin variante","Deslactosada",1,80.0,0.0,80.0,0.0,80.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2844","Venta","Barra",10080,"Cold de fresa","Sin variante","Sin modificadores",1,70.0,0.0,70.0,0.0,70.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Mandarina","Cerrado"
"2025-10-12 13:13:00","1-2844","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,50.0,0.0,50.0,0.0,50.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2844","Venta","Vitrina",10028,"Chocolatín","Sin variante","Sin modificadores",1,60.0,0.0,60.0,0.0,60.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2844","Venta","Vitrina",10067,"Trenzado nutella","Sin variante","Sin modificadores",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2845","Venta","Barra",10007,"Capuccino","Sin variante","Sin modificadores",2,110.0,0.0,110.0,0.0,110.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2845","Venta","Barra",10012,"Chai","Sin variante","Deslactosada",1,65.0,0.0,65.0,0.0,65.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2845","Venta","Barra",10013,"Chocolate","Sin variante","Sin modificadores",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2845","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,30.0,0.0,30.0,0.0,30.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2845","Venta","Vitrina",10029,"Caracol de almendra","Sin variante","Sin modificadores",1,60.0,0.0,60.0,0.0,60.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2845","Venta","Vitrina",10071,"Galleta chai","Sin variante","Sin modificadores",1,30.0,0.0,30.0,0.0,30.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:13:00","1-2845","Venta","Vitrina",10083,"Pan de muerto","Sin variante","Sin modificadores",1,50.0,0.0,50.0,0.0,50.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:33:00","1-2846","Venta","Alimentos",10025,"Bowl de pollo","Sin variante","Sin modificadores",1,160.0,0.0,160.0,0.0,160.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:33:00","1-2846","Venta","Barra",10012,"Chai","Sin variante","Deslactosada",1,65.0,0.0,65.0,0.0,65.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:33:00","1-2846","Venta","Barra",10047,"Cold brew","Sin variante","Sin modificadores",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:33:00","1-2846","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,35.0,0.0,35.0,0.0,35.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 13:33:00","1-2846","Venta","Vitrina",10083,"Pan de muerto","Sin variante","Sin modificadores",1,50.0,0.0,50.0,0.0,50.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 15:19:00","1-2847","Venta","Alimentos",10026,"Chilaquiles","Sin variante","Huevo, Con Cebolla",1,155.0,0.0,155.0,0.0,155.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","1/2","Cerrado"
"2025-10-12 15:19:00","1-2847","Venta","Alimentos",10026,"Chilaquiles","Sin variante","Pollo, Con Cebolla",1,185.0,0.0,185.0,0.0,185.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 15:19:00","1-2847","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,34.0,0.0,34.0,0.0,34.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 17:37:00","1-2848","Venta","Alimentos",10027,"Tamal","Sin variante","Hongos, Costilla",2,110.0,0.0,110.0,0.0,110.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 17:37:00","1-2848","Venta","Barra",10012,"Chai","Sin variante","Sin modificadores",1,65.0,0.0,65.0,0.0,65.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 17:37:00","1-2848","Venta","Barra",10013,"Chocolate","Sin variante","Deslactosada",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 17:37:00","1-2848","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,20.0,0.0,20.0,0.0,20.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:09:00","1-2849","Venta","Barra",10007,"Capuccino","Sin variante","Deslactosada",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:09:00","1-2849","Venta","Barra",10040,"Matcha ceremonial","Sin variante","Deslactosada",1,75.0,0.0,75.0,0.0,75.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:09:00","1-2849","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,35.0,0.0,35.0,0.0,35.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:09:00","1-2849","Venta","Vitrina",10029,"Caracol de almendra","Sin variante","Sin modificadores",1,60.0,0.0,60.0,0.0,60.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:09:00","1-2849","Venta","Vitrina",10067,"Trenzado nutella","Sin variante","Sin modificadores",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:09:00","1-2850","Venta","Barra",10013,"Chocolate","Sin variante","Base agua",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:09:00","1-2850","Venta","Barra",10016,"Infusiones","Sin variante","Sin modificadores",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Te verde","Cerrado"
"2025-10-12 18:09:00","1-2850","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,17.0,0.0,17.0,0.0,17.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:09:00","1-2850","Venta","Vitrina",10029,"Caracol de almendra","Sin variante","Sin modificadores",1,60.0,0.0,60.0,0.0,60.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:17:00","1-2851","Venta","Barra",10013,"Chocolate","Sin variante","Deslactosada",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:17:00","1-2851","Venta","Barra",10040,"Matcha ceremonial","Sin variante","Deslactosada",1,75.0,0.0,75.0,0.0,75.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:17:00","1-2851","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:17:00","1-2851","Venta","Vitrina",10029,"Caracol de almendra","Sin variante","Sin modificadores",1,60.0,0.0,60.0,0.0,60.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:17:00","1-2851","Venta","Vitrina",10031,"Rol de canela","Sin variante","Sin modificadores",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:18:00","1-2852","Venta","Barra",10007,"Capuccino","Sin variante","Deslactosada",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 18:18:00","1-2852","Venta","Barra",10008,"Latte","Sin variante","Deslactosada, Frío",1,60.0,0.0,60.0,0.0,60.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 18:18:00","1-2852","Venta","Barra",10013,"Chocolate","Sin variante","Deslactosada, Frío",1,55.0,0.0,55.0,0.0,55.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 18:18:00","1-2852","Venta","Barra",10040,"Matcha ceremonial","Sin variante","Deslactosada",1,75.0,0.0,75.0,0.0,75.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 18:18:00","1-2852","Venta","Propina",10011,"Propina","Sin variante","Sin modificadores",1,10.0,0.0,10.0,0.0,10.0,0.0,"Comer dentro","TPV 1","Café","Vere","","","Sin comentarios","Cerrado"
"2025-10-12 18:45:00","1-2853","Venta","Alimentos",10025,"Bowl de pollo","Sin variante","Sin modificadores",1,160.0,0.0,160.0,0.0,160.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
"2025-10-12 18:45:00","1-2853","Venta","Alimentos",10026,"Chilaquiles","Sin variante","Sin cebolla",1,140.0,0.0,140.0,0.0,140.0,0.0,"Comer dentro","TPV 1","Café","Gerardo","","","Sin comentarios","Cerrado"
